TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,ORDINAL_POSITION
ANALYTICS,INT_PLASMA_SAMPLE_EVENTS,PURIFIED_PLASMA_ID,TEXT,1
ANALYTICS,INT_PLASMA_SAMPLE_EVENTS,STUDY_ID,TEXT,2
ANALYTICS,INT_PLASMA_SAMPLE_EVENTS,OPERATION_NAME,TEXT,3
ANALYTICS,INT_PLASMA_SAMPLE_EVENTS,LAST_UPDATED_AT,TIMESTAMP_TZ,4
ANALYTICS,INT_PLASMA_SAMPLE_EVENTS,HAS_ACCESSIONING_SLA_TIME_VIOLATION,NUMBER,5
ANALYTICS,INT_PLASMA_SAMPLE_EVENTS,IS_CURRENT_STATUS,NUMBER,6
ANALYTICS,INT_PLASMA_SAMPLE_EVENTS,CURRENT_OPERATION_NAME,TEXT,7
ANALYTICS,INT_PLASMA_SAMPLE_EVENTS,CURRENT_OPERATION_NAME_SPARSE,TEXT,8
ANALYTICS,INT_PRODUCTION_LAB_QC_FLAGS,TRF_ID,TEXT,1
ANALYTICS,INT_PRODUCTION_LAB_QC_FLAGS,PURIFIED_PLASMA_ID,TEXT,2
ANALYTICS,INT_PRODUCTION_LAB_QC_FLAGS,SUBJECT_ID,TEXT,3
ANALYTICS,INT_PRODUCTION_LAB_QC_FLAGS,STUDY_ID,TEXT,4
ANALYTICS,INT_PRODUCTION_LAB_QC_FLAGS,WGS_FLOW_CELL_LOCATION,TEXT,5
ANALYTICS,INT_PRODUCTION_LAB_QC_FLAGS,FIVE_HMC_FLOW_CELL_LOCATION,TEXT,6
ANALYTICS,INT_PRODUCTION_LAB_QC_FLAGS,PURIFIED_PLASMA_VOL,FLOAT,7
ANALYTICS,INT_PRODUCTION_LAB_QC_FLAGS,CFDNA_CONC,FLOAT,8
ANALYTICS,INT_PRODUCTION_LAB_QC_FLAGS,WGS_LP_CONC,FLOAT,9
ANALYTICS,INT_PRODUCTION_LAB_QC_FLAGS,FIVE_HMC_LP_CONC,FLOAT,10
ANALYTICS,INT_PRODUCTION_LAB_QC_FLAGS,HAS_PASSED_CFDNA,NUMBER,11
ANALYTICS,INT_PRODUCTION_LAB_QC_FLAGS,HAS_PASSED_WGS_LIBPREP,NUMBER,12
ANALYTICS,INT_PRODUCTION_LAB_QC_FLAGS,HAS_PASSED_FIVE_HMC_LIBPREP,NUMBER,13
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,TRF_ID,TEXT,1
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,PURIFIED_PLASMA_ID,TEXT,2
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,SUBJECT_ID,TEXT,3
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,STUDY_ID,TEXT,4
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,WGS_FLOW_CELL_ID,TEXT,5
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,WGS_FLOW_CELL_LOCATION,TEXT,6
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,FIVE_HMC_FLOW_CELL_ID,TEXT,7
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,FIVE_HMC_FLOW_CELL_LOCATION,TEXT,8
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,TISSUE_OF_ORIGIN,TEXT,9
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,REPORT_TYPE,TEXT,10
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,REPORT_RESULT,TEXT,11
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,REPORT_SAMPLE_TYPE,TEXT,12
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,SAMPLE_STATUS,TEXT,13
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,ACCESSIONING_AT,TIMESTAMP_TZ,14
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,CFDNA_EXTRACTION_AT,TIMESTAMP_TZ,15
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,CFDNA_SPECTRAMAX_AT,TIMESTAMP_TZ,16
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,WGS_LP_AT,TIMESTAMP_TZ,17
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,FIVE_HMC_LP_AT,TIMESTAMP_TZ,18
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,PIPELINE_COMPLETE_AT,TIMESTAMP_TZ,19
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,REPORT_APPROVAL_AT,TIMESTAMP_TZ,20
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,PURIFIED_PLASMA_VOL,FLOAT,21
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,CFDNA_CONC,FLOAT,22
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,WGS_LP_CONC,FLOAT,23
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,FIVE_HMC_LP_CONC,FLOAT,24
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,FIVE_HMC_QC_PERC_DUP,NUMBER,25
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,FIVE_HMC_QC_NUM_ZERO,NUMBER,26
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,FIVE_HMC_QC_UNIQUE_FRAGMENTS,NUMBER,27
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,FIVE_HMC_QC_PERC_ZERO_CPG,NUMBER,28
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,WGS_QC_PERC_DUP,NUMBER,29
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,WGS_QC_NUM_ZERO,NUMBER,30
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,WGS_QC_UNIQUE_FRAGMENTS,NUMBER,31
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,WGS_QC_MASS_RATIO_ERROR_FACTOR,NUMBER,32
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,SCORES_NOT_PANCREATIC,NUMBER,33
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,SCORES_PANCREATIC,NUMBER,34
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,HAS_PASSED_CFDNA,NUMBER,35
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,HAS_PASSED_WGS_LIBPREP,NUMBER,36
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,HAS_PASSED_FIVE_HMC_LIBPREP,NUMBER,37
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,HAS_PASSED_FIVE_HMC_QC_PERC_DUP,NUMBER,38
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,HAS_PASSED_FIVE_HMC_QC_NUM_ZERO,NUMBER,39
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,HAS_PASSED_FIVE_HMC_QC_UNIQUE_FRAGMENTS,NUMBER,40
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,HAS_PASSED_FIVE_HMC_QC_PERC_ZERO_CPG,NUMBER,41
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,HAS_PASSED_WGS_QC_PERC_DUP,NUMBER,42
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,HAS_PASSED_WGS_QC_NUM_ZERO,NUMBER,43
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,HAS_PASSED_WGS_QC_UNIQUE_FRAGMENTS,NUMBER,44
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,HAS_PASSED_WGS_QC_MASS_RATIO_ERROR_FACTOR,NUMBER,45
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,HAS_BORDERLINE_PANC_SCORE,NUMBER,46
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,HAS_PASSED_E2E_QC,NUMBER,47
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,TURNAROUND_TIME_IN_SECONDS,NUMBER,48
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,BUSINESS_DAYS_TAT,NUMBER,49
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,SEX_AT_BIRTH,TEXT,50
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,HAS_INFORMED_CONSENT,BOOLEAN,51
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,DIABETES_DIAGNOSED_AT,TIMESTAMP_TZ,52
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,AGE_AT_BLOOD_DRAW,NUMBER,53
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,ORDERING_PHYSICIAN_NAME,TEXT,54
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,BODY_MASS_INDEX,FLOAT,55
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,IPMN,TEXT,56
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,SMOKER,TEXT,57
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,ETHNICITY,TEXT,58
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,ETHNICITY_OTHER,TEXT,59
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,ICD_10_CODE,TEXT,60
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,ICD_10_CODE_OTHER,TEXT,61
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,HAS_CHRONIC_PANCREATITIS,BOOLEAN,62
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,IS_HEAVY_SMOKER,BOOLEAN,63
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,HAS_FAMILY_HISTORY_OF_PANCREATIC_CANCER,BOOLEAN,64
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,KNOWN_GENETIC_RISK_FACTORS,TEXT,65
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,RISK_FACTORS,TEXT,66
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,OTHER_CLINICAL_INFO,TEXT,67
ANALYTICS,INT_PRODUCTION_LAB_SAMPLES,NOTES,TEXT,68
ANALYTICS,INT_TRF_STATUS,TRF_ID,TEXT,1
ANALYTICS,INT_TRF_STATUS,PRIMARY_PLASMA_ID,TEXT,2
ANALYTICS,INT_TRF_STATUS,PRIMARY_PLASMA_VOL,FLOAT,3
ANALYTICS,INT_TRF_STATUS,PRIMARY_IS_EXTRACTED,BOOLEAN,4
ANALYTICS,INT_TRF_STATUS,PRIMARY_EXTRACTED_AT,TIMESTAMP_NTZ,5
ANALYTICS,INT_TRF_STATUS,HAS_PRIMARY_COMPLETED_PIPELINE,BOOLEAN,6
ANALYTICS,INT_TRF_STATUS,HAS_PRIMARY_CLS_REVIEW,TEXT,7
ANALYTICS,INT_TRF_STATUS,HAS_PRIMARY_LD_REVIEW,TEXT,8
ANALYTICS,INT_TRF_STATUS,SECONDARY_PLASMA_ID,TEXT,9
ANALYTICS,INT_TRF_STATUS,SECONDARY_PLASMA_VOL,FLOAT,10
ANALYTICS,INT_TRF_STATUS,SECONDARY_IS_EXTRACTED,BOOLEAN,11
ANALYTICS,INT_TRF_STATUS,SECONDARY_EXTRACTED_AT,TIMESTAMP_NTZ,12
ANALYTICS,INT_TRF_STATUS,HAS_SECONDARY_SUFFICIENT_VOLUME,BOOLEAN,13
ANALYTICS,INT_TRF_STATUS,HAS_SECONDARY_COMPLETED_PIPELINE,BOOLEAN,14
ANALYTICS,INT_TRF_STATUS,HAS_SECONDARY_CLS_REVIEW,TEXT,15
ANALYTICS,INT_TRF_STATUS,HAS_SECONDARY_LD_REVIEW,TEXT,16
ANALYTICS,INT_TRF_STATUS,FIRST_PASSING_PURIFIED_PLASMA_ID,TEXT,17
ANALYTICS,MASTER_BENCHLING_SCREEN_FAILURES,STUDY_NAME,TEXT,1
ANALYTICS,MASTER_BENCHLING_SCREEN_FAILURES,MEDRIO_ID,TEXT,2
ANALYTICS,MASTER_BENCHLING_SCREEN_FAILURES,CLINICAL_NETWORK,TEXT,3
ANALYTICS,MASTER_BENCHLING_SCREEN_FAILURES,SUBJECT_ID,TEXT,4
ANALYTICS,MASTER_BENCHLING_SCREEN_FAILURES,COHORT,TEXT,5
ANALYTICS,MASTER_BENCHLING_SCREEN_FAILURES,PRIMARY_DIAGNOSIS,TEXT,6
ANALYTICS,MASTER_BENCHLING_SCREEN_FAILURES,DATE_RECEIVED,DATE,7
ANALYTICS,MASTER_BENCHLING_SCREEN_FAILURES,SCREEN_FAIL,TEXT,8
ANALYTICS,MASTER_BENCHLING_SCREEN_FAILURES,SCREEN_FAIL_REASON,TEXT,9
ANALYTICS,MASTER_BENCHLING_SCREEN_FAILURES,SCREEN_FAIL_OTHER,TEXT,10
ANALYTICS,MASTER_BENCHLING_SCREEN_FAILURES,QC_FAIL,TEXT,11
ANALYTICS,MASTER_BENCHLING_SCREEN_FAILURES,QC_STATUS,TEXT,12
ANALYTICS,MASTER_BENCHLING_SCREEN_FAILURES,MEDRIO_ENROLLMENT_STATUS,TEXT,13
ANALYTICS,MASTER_CLINICAL_BENCHLING,STUDY_NAME,TEXT,1
ANALYTICS,MASTER_CLINICAL_BENCHLING,COLLECTION_TYPE,TEXT,2
ANALYTICS,MASTER_CLINICAL_BENCHLING,DEXA_SUBJECT,TEXT,3
ANALYTICS,MASTER_CLINICAL_BENCHLING,WHEN_DEXA_TAKEN,TEXT,4
ANALYTICS,MASTER_CLINICAL_BENCHLING,MERGED_SUBJECT_ID,TEXT,5
ANALYTICS,MASTER_CLINICAL_BENCHLING,ENTITY,TEXT,6
ANALYTICS,MASTER_CLINICAL_BENCHLING,MERGED_MEDRIO_ID,TEXT,7
ANALYTICS,MASTER_CLINICAL_BENCHLING,MERGED_SOURCE,TEXT,8
ANALYTICS,MASTER_CLINICAL_BENCHLING,MERGED_SAMPLE_ID,TEXT,9
ANALYTICS,MASTER_CLINICAL_BENCHLING,SOURCE_SAMPLE_ID,TEXT,10
ANALYTICS,MASTER_CLINICAL_BENCHLING,VISIT,TEXT,11
ANALYTICS,MASTER_CLINICAL_BENCHLING,BENCHLING_DATE_RECEIVED,DATE,12
ANALYTICS,MASTER_CLINICAL_BENCHLING,SITE_SOURCE,TEXT,13
ANALYTICS,MASTER_CLINICAL_BENCHLING,MERGED_SITE_NUMBER,TEXT,14
ANALYTICS,MASTER_CLINICAL_BENCHLING,ENROLLMENT_STATUS,TEXT,15
ANALYTICS,MASTER_CLINICAL_BENCHLING,IS_ENROLLED,TEXT,16
ANALYTICS,MASTER_CLINICAL_BENCHLING,EXCLUSION_REASON,TEXT,17
ANALYTICS,MASTER_CLINICAL_BENCHLING,ENROLLMENT_DATE,DATE,18
ANALYTICS,MASTER_CLINICAL_BENCHLING,CONSENT_DATE,DATE,19
ANALYTICS,MASTER_CLINICAL_BENCHLING,MERGED_COHORT,TEXT,20
ANALYTICS,MASTER_CLINICAL_BENCHLING,MERGED_AGE,TEXT,21
ANALYTICS,MASTER_CLINICAL_BENCHLING,MERGED_SMOKING,TEXT,22
ANALYTICS,MASTER_CLINICAL_BENCHLING,MERGED_GENDER,TEXT,23
ANALYTICS,MASTER_CLINICAL_BENCHLING,CLINICAL_DIAGNOSIS,TEXT,24
ANALYTICS,MASTER_CLINICAL_BENCHLING,RAW_MERGED_DIAGNOSIS,TEXT,25
ANALYTICS,MASTER_CLINICAL_BENCHLING,MERGED_PRIMARY_DIAGNOSIS,TEXT,26
ANALYTICS,MASTER_CLINICAL_BENCHLING,DIAGNOSIS_OTHER,TEXT,27
ANALYTICS,MASTER_CLINICAL_BENCHLING,BENIGN_CONDITION,TEXT,28
ANALYTICS,MASTER_CLINICAL_BENCHLING,DIAGNOSIS_DATE,DATE,29
ANALYTICS,MASTER_CLINICAL_BENCHLING,MERGED_STAGE,TEXT,30
ANALYTICS,MASTER_CLINICAL_BENCHLING,STAGE_CURRENT,TEXT,31
ANALYTICS,MASTER_CLINICAL_BENCHLING,TNM_SCORE,TEXT,32
ANALYTICS,MASTER_CLINICAL_BENCHLING,TUMOR_GRADE,TEXT,33
ANALYTICS,MASTER_CLINICAL_BENCHLING,METS_DISEASE,TEXT,34
ANALYTICS,MASTER_CLINICAL_BENCHLING,METS_DIAGNOSIS_DATE,DATE,35
ANALYTICS,MASTER_CLINICAL_BENCHLING,METS_SITE,TEXT,36
ANALYTICS,MASTER_CLINICAL_BENCHLING,METS_SITE_OTHER,TEXT,37
ANALYTICS,MASTER_CLINICAL_BENCHLING,BENCHLING_SAMPLE_TYPE,TEXT,38
ANALYTICS,MASTER_CLINICAL_BENCHLING,BENCHLING_DIAGNOSIS_DESCRIPTION,TEXT,39
ANALYTICS,MASTER_CLINICAL_BENCHLING,BENCHLING_HIGH_CANCER_RISK,TEXT,40
ANALYTICS,MASTER_CLINICAL_BENCHLING,BENCHLING_SCREEN_FAIL,TEXT,41
ANALYTICS,MASTER_CLINICAL_BENCHLING,BENCHLING_SCREEN_FAIL_REASON,TEXT,42
ANALYTICS,MASTER_CLINICAL_BENCHLING,BENCHLING_SCREEN_FAIL_OTHER,TEXT,43
ANALYTICS,MASTER_CLINICAL_DATA_VIEW,COLLECTION_TYPE,TEXT,1
ANALYTICS,MASTER_CLINICAL_DATA_VIEW,DEXA_SUBJECT,TEXT,2
ANALYTICS,MASTER_CLINICAL_DATA_VIEW,WHEN_DEXA_TAKEN,TEXT,3
ANALYTICS,MASTER_CLINICAL_DATA_VIEW,STUDY_NAME,TEXT,4
ANALYTICS,MASTER_CLINICAL_DATA_VIEW,SUBJECT_ID,TEXT,5
ANALYTICS,MASTER_CLINICAL_DATA_VIEW,MEDRIO_ID,TEXT,6
ANALYTICS,MASTER_CLINICAL_DATA_VIEW,SOURCE_SUBJECT_ID,TEXT,7
ANALYTICS,MASTER_CLINICAL_DATA_VIEW,SAMPLE_ID,TEXT,8
ANALYTICS,MASTER_CLINICAL_DATA_VIEW,VISIT,TEXT,9
ANALYTICS,MASTER_CLINICAL_DATA_VIEW,COHORT,TEXT,10
ANALYTICS,MASTER_CLINICAL_DATA_VIEW,COHORT_ORIGINAL,TEXT,11
ANALYTICS,MASTER_CLINICAL_DATA_VIEW,HAS_RISK_FACTORS,TEXT,12
ANALYTICS,MASTER_CLINICAL_DATA_VIEW,NUM_HIGH_RISK_FACTORS,NUMBER,13
ANALYTICS,MASTER_CLINICAL_DATA_VIEW,HIGH_RISK_FACTORS,TEXT,14
ANALYTICS,MASTER_CLINICAL_DATA_VIEW,CLINICAL_NETWORK,TEXT,15
ANALYTICS,MASTER_CLINICAL_DATA_VIEW,SITE_NUMBER,TEXT,16
ANALYTICS,MASTER_CLINICAL_DATA_VIEW,ENROLLMENT_STATUS,TEXT,17
ANALYTICS,MASTER_CLINICAL_DATA_VIEW,IS_ENROLLED,TEXT,18
ANALYTICS,MASTER_CLINICAL_DATA_VIEW,CRITERIA_NOT_MET,TEXT,19
ANALYTICS,MASTER_CLINICAL_DATA_VIEW,ENROLLMENT_DATE,DATE,20
ANALYTICS,MASTER_CLINICAL_DATA_VIEW,CONSENT_DATE,DATE,21
ANALYTICS,MASTER_CLINICAL_DATA_VIEW,AGE,TEXT,22
ANALYTICS,MASTER_CLINICAL_DATA_VIEW,GENDER,TEXT,23
ANALYTICS,MASTER_CLINICAL_DATA_VIEW,ETHNICITY,TEXT,24
ANALYTICS,MASTER_CLINICAL_DATA_VIEW,RACE,TEXT,25
ANALYTICS,MASTER_CLINICAL_DATA_VIEW,HT_CM,TEXT,26
ANALYTICS,MASTER_CLINICAL_DATA_VIEW,WT_KG,TEXT,27
ANALYTICS,MASTER_CLINICAL_DATA_VIEW,BMI,TEXT,28
ANALYTICS,MASTER_CLINICAL_DATA_VIEW,PRIMARY_DIAGNOSIS,TEXT,29
ANALYTICS,MASTER_CLINICAL_DATA_VIEW,DIAGNOSIS_OTHER,TEXT,30
ANALYTICS,MASTER_CLINICAL_DATA_VIEW,BENIGN_CONDITION,TEXT,31
ANALYTICS,MASTER_CLINICAL_DATA_VIEW,DIAGNOSIS_DATE,DATE,32
ANALYTICS,MASTER_CLINICAL_DATA_VIEW,STAGE_DIAGNOSIS,TEXT,33
ANALYTICS,MASTER_CLINICAL_DATA_VIEW,STAGE_CURRENT,TEXT,34
ANALYTICS,MASTER_CLINICAL_DATA_VIEW,DIAGNOSIS_AGE,TEXT,35
ANALYTICS,MASTER_CLINICAL_DATA_VIEW,TNM_SCORE,TEXT,36
ANALYTICS,MASTER_CLINICAL_DATA_VIEW,TUMOR_GRADE,TEXT,37
ANALYTICS,MASTER_CLINICAL_DATA_VIEW,METS_DISEASE,TEXT,38
ANALYTICS,MASTER_CLINICAL_DATA_VIEW,METS_DIAGNOSIS_DATE,DATE,39
ANALYTICS,MASTER_CLINICAL_DATA_VIEW,METS_SITE,TEXT,40
